seniority_level,internship,degree_requirements,programming_languages,type_of_ml,libraries_and_tools,cloud_platforms,key_responsibilities,domain
Not mentioned,False,"Advanced degree (Master’s or Ph.D.) in Statistics, Computer Science, or a related field is preferred.","['Python', 'SQL']","['Recommendation Systems', 'Predictive Modeling', 'Natural Language Processing', 'Deep Learning']","['Docker', 'Kubernetes', 'MLflow', 'Kubeflow', 'TensorFlow', 'Pytorch']","['AWS', 'GCP', 'Azure']","['Collaborate on designing and implementing machine learning models to tackle complex business needs.', 'Deploy models into cloud environments and manage the pipeline using Docker and Kubernetes.', 'Ensure models are production-ready, scalable, and reliable.', 'Monitor model efficacy in live environments, troubleshooting and optimizing as needed.']",['Advertising']
Mid-Level,False,"Master’s degree in Computer Science, Engineering, Mathematics, or a related field OR 3-5 years of related work experience",['Python'],"['Deep Learning', 'Multimodal Learning', 'Computer Vision', 'Autonomous Systems']","['PyTorch', 'TensorFlow', 'Hugging Face', 'NumPy', 'Pandas', 'Matplotlib']",['Not mentioned'],"['Apply state-of-the-art ML research in 3D scene understanding to a home security and intelligence product.', 'Develop new ML models and algorithms that advance the state of the art.', 'Lead the development cycle to turn prototypes into production-grade ML solutions.', 'Develop high-quality codebases and data pipelines to deploy new ML solutions at scale.']",['Consumer Electronics']
Senior,False,Not mentioned,"['PHP', 'Python', 'Ruby', 'Go', 'C', 'Scala', 'Java']","['Recommendation Systems', 'Generative AI', 'Natural Language Processing']","['PyTorch', 'TensorFlow', 'Keras', 'XGBoost', 'Scikit-learn', 'Apache Spark']",['Not mentioned'],"['Develop ML models supporting ranking, retrieval, and generative AI use-cases.', 'Produce high-quality results by leading or contributing heavily to large multi-functional projects.', 'Support in the development of sustainable data collection pipelines and management of ML features.', 'Mentor other engineers and deeply review code.']",['Software and Cloud']
Early Career,False,"BA/BS in an analytical field (e.g., Statistics, Data Science, Mathematics, Economics)","['Python', 'R']","['Natural Language Processing', 'Predictive Modeling']","['Power BI', 'Tableau', 'SQL']",['Oracle Cloud Infrastructure'],"[""Analyze spend data to identify trends and opportunities across all The Wonderful Company's business units"", 'Plan and execute analytical projects while managing multiple ongoing and ad hoc initiatives', 'Lead data-related problem-solving efforts and prioritize / drive efforts to clean, validate, and prepare data for analysis and modeling', 'Design, build, and maintain dashboards and reports to support ongoing opportunity identification and spend category management']",['Consumer Electronics']
Mid-Level,False,"Degree in Computer Science, Electrical Engineering, Robotics or related field","['Python', 'C++']","['Computer Vision', 'Deep Learning', 'Pattern Recognition', 'Multimodal Learning']","['PyTorch', 'Tensorflow', 'Caffe']",['Not mentioned'],"['Prototyping and deploying robust computer vision algorithms on ISEE’s vehicle fleet', 'Benchmarking and maintaining developed modules', 'Collaborate with team for testing, evaluation and review of code']","['Transportation', 'Logistics']"
Mid-Level,False,"Bachelor's, Master’s, or Doctorate in Computer Science, Computer Engineering, Data Science, or a related field",['Python'],"['Natural Language Processing', 'Predictive Modeling', 'Optimization']","['Git', 'Kubernetes']",['AWS'],"['Create, architect, and deliver state-of-the-art machine learning solutions', 'Develop clear software specifications for implementing trained models', 'Implement scalable, production-ready Machine Learning and AI Process Automation models', 'Collaborate closely with fellow software engineers, data scientists, data engineers, and QA engineers']",['Defense']
Senior,False,Bachelors degree with 5+ years (or) Masters degree with 3+ years (or) PhD degree with 1+ year of software development industry experience,"['Python', 'Go']","['Deep Learning', 'Natural Language Processing', 'Predictive Modeling']","['PyTorch', 'TensorFlow', 'LangChain', 'LlamaIndex', 'Hugging Face']",['Not mentioned'],"['Develop and deploy ML models', 'Build and optimize ML models for diverse applications', 'Develop and maintain ML infrastructure, pipelines, and deployment systems', 'Collaborate with cross-functional teams to ensure AI solutions are scalable and production-ready']",['Software and Cloud']
Early Career,True,"PhD in Computer Science, Machine Learning, or a closely related field","['Python', 'Scala', 'Spark']","['Supervised Learning', 'Unsupervised Learning', 'Reinforcement Learning', 'MLOps']","['Pandas', 'NumPy', 'Scikit-learn']",['Not mentioned'],"['Develop and deploy large-scale machine learning systems.', 'Engage in the end-to-end process of designing, training, improving, and launching machine learning models.', 'Write production-scale ML models for global economic infrastructure.', 'Collaborate across teams to incorporate feedback and seek solutions.']",['Finance']
Not mentioned,False,Not mentioned,['Python'],"['Unsupervised Learning', 'Natural Language Processing']","['Neo4J', 'Streamlit', 'ElasticSearch', 'NiFi', 'Pentaho']",['Not mentioned'],"['Develop and manage data processing ETL pipelines', 'Create user-facing tools using Python, Neo4J, Streamlit, and similar', 'Leverage existing Large Language Models (LLMs) to accelerate data science workflows', 'Implement technical goals for data management using big data and data science coding platforms']",['Government']
Not mentioned,False,BS/MS/PhD in Computer Science or a related field,['Python'],"['Deep Learning', 'Natural Language Processing', 'Computer Vision']","['PyTorch', 'Docker', 'Kubernetes', 'Ray', 'Scrapy', 'Selenium', 'Hadoop', 'Datasketch']",['Not mentioned'],"['Design and develop data processing pipelines, including data extraction, data filtering, data labeling.', 'Implement machine learning models to improve the quality and diversity of data.', 'Own and lead engineering projects in the area of data acquisition, including web crawling, data ingestion, and processing.', 'Develop and deploy highly scalable distributed systems capable of handling terabytes of data.']",['Software and Cloud']
Mid-Level,False,"BS in Computer Science, Robotics, Statistics, Physics, Math or another quantitative area, or equivalent work experience","['Python', 'C++']","['Deep Learning', 'Reinforcement Learning', 'Transfer Learning']",['Not mentioned'],['Not mentioned'],"[""Develop ML models that assess our autonomous vehicle's behavior."", 'Develop ML infrastructure to support performant models.', 'Collaborate across teams to bring state-of-the-art to production.']",['Automotive']
Mid-Level,False,Master's degree in computer science or equivalent,['Python'],"['Deep Learning', 'Reinforcement Learning', 'Generative AI', 'Multimodal Learning']",['Not mentioned'],['AWS'],"['Develop and maintain key platforms for LLM development, evaluation, and deployment.', 'Lead the development of novel algorithms and modeling techniques for large model training.', 'Collaborate with team members to investigate design approaches and evaluate technical feasibility.', 'Work closely with Applied scientists to process massive data and scale machine learning models.']",['Software and Cloud']
Mid-Level,False,"PhD or Master’s degree in Computer Science, Statistics, Electrical Engineering, Applied Math, Operations Research, Econometrics or equivalent experience required","['Python', 'Java', 'Objective C', 'C++']","['Natural Language Processing', 'Computer Vision', 'Deep Learning', 'Predictive Modeling']","['PyTorch', 'TensorFlow']",['Not mentioned'],"['Develop predictive models (CV and/or NLP) trained on large-scale datasets', 'Develop and implement scalable and efficient ML models for mobile devices', 'Collaborate with product management and engineering groups to develop new products and features']",['Software and Cloud']
Not mentioned,False,"BS/MS or Ph.D in computer science, electrical engineering or a related discipline","['C++', 'Python']","['Optimization', 'Deep Learning', 'Computer Vision', 'MLOps']","['Torch', 'CUDA', 'TensorRT']",['Not mentioned'],"['Develop technologies to accelerate training and inferences of AI models in autonomous driving systems', 'Perform in-depth analysis and optimization for autonomous driving problems', 'Collaborate with hardware and software teams to optimize algorithms and influence platform design', 'Apply model optimization and efficient deep learning techniques to models and libraries']",['Automotive']
Early Career,True,"Currently a Junior or Senior in College (pursuing a degree in Data Science, Computer Science, Information Systems, HR Analytics, or related field)",['Not mentioned'],"['Natural Language Processing', 'Predictive Modeling']","['Claude for Enterprise', 'ChatGPT', 'Excel', 'Tableau', 'Power BI']",['Not mentioned'],"['Assist in implementing and optimizing AI tools for HR functions', 'Collect, clean, and analyze large HR datasets', 'Support the analysis of compensation data', 'Identify opportunities to automate routine HR processes using AI']",['Human Resources']
Senior,False,"PhD or Masters in Data Science, Statistics, Geographic Information Systems, Econometrics, or a related field",['Not mentioned'],"['Natural Language Processing', 'Computer Vision', 'Causal Inference']",['Not mentioned'],['Not mentioned'],"['Analyze and derive new location data products and features', 'Drive exploration, development, and prototyping of innovative location data products', 'Quantify the impact of launched data products through experimentation and/or causal inference techniques', 'Research new approaches to measure items like location relevance and map behaviors']",['Travel and Hospitality']
Senior,False,"Bachelor's degree in Computer Science, Engineering, Mathematics or related field","['Python', 'Spark SQL', 'Presto', 'Go', 'Java']","['Deep Learning', 'Supervised Learning', 'Anomaly Detection']","['Tensorflow', 'Pytorch', 'JAX']",['Not mentioned'],"['Develop production machine learning solutions to ensure the integrity of every Uber account', 'Partner with engineering and product leaders to help shape the roadmap', 'Leverage digital information, behavior signals and social networking signals to establish trust in users', 'Build large scale systems to find similarities and relationships between various entities']","['Transportation', 'Logistics']"
Mid-Level,False,Bachelor's degree in computer science or equivalent,['Not mentioned'],"['Deep Learning', 'Generative AI']",['Not mentioned'],['Not mentioned'],"['Develop and maintain key tooling for model evaluation', 'Collaborate closely with Applied Scientists to investigate and plan experiments', 'Manage project prioritization, deliverables, timelines, and stakeholder communication', 'Work closely with product teams and scientists to create new techniques and tooling']",['Software and Cloud']
Mid-Level,False,"Master’s degree or Ph.D. in Computer Science, Machine Learning, or a related quantitative field","['Python', 'SQL']","['Natural Language Processing', 'Reinforcement Learning', 'Ensemble Learning', 'Recommendation Systems']","['TensorFlow', 'PyTorch', 'Not mentioned']","['GCP', 'Azure']","['Conceptualize, develop, and deploy machine learning models for NLP, retrieval, ranking, reasoning, dialog, and code-generation systems', 'Implement advanced machine learning algorithms, such as Transformer-based models and reinforcement learning', 'Process and analyze large, complex datasets to inform model development', 'Work across the complete lifecycle of ML model development, including problem definition, data exploration, feature engineering, model training, validation, and deployment']",['Software and Cloud']
Senior,False,"Bachelor's degree, preferably in Computer Science, Information Technology, Computer Engineering, or related IT discipline; or equivalent experience","['Python', 'SQL']","['Time Series Analysis', 'Anomaly Detection', 'Predictive Modeling', 'Ensemble Learning']","['PySpark', 'Tableau', 'Airflow']",['Not mentioned'],"['Perform exploratory data analysis to define analytical models.', 'Develop advanced quantitative models using Python, PySpark, and associated libraries.', 'Deploy models into production with Airflow.', 'Independently and collaboratively lead client engagement workstreams.']",['Consulting']
Not mentioned,False,Not mentioned,['SQL'],['Natural Language Processing'],['Not mentioned'],['Not mentioned'],"['Maintain and enhance formulas and calculation scripts.', 'Monitor daily load processes for issues.', 'Manage testing and rollout of new application releases.', 'Support the development of technical documentation and new features for users.']",['Software and Cloud']
Not mentioned,False,"Bachelor's or Master’s degree in Data Science, Statistics, Computer Science, or a related field","['Python', 'R']","['Predictive Modeling', 'Statistical Modeling']","['Pandas', 'NumPy', 'Scikit-learn', 'Tableau', 'Power BI']",['Not mentioned'],"['Analyze large datasets and generate actionable insights', 'Develop predictive models and machine learning algorithms', 'Create reports and visualizations to communicate findings', 'Collaborate with cross-functional teams to provide data-driven solutions']",['Software and Cloud']
Mid-Level,False,"MS or PhD in a quantitative field (e.g. Statistics, Mathematics, Physics)","['Python', 'SQL']","['Deep Learning', 'Statistical Modeling', 'Optimization', 'Computer Vision', 'Robotics', 'Autonomous Systems']","['Docker', 'Kubernetes', 'Jenkins', 'GitHub Actions']",['Not mentioned'],"['Lead the development of complex data models and algorithms to solve business problems for the Autonomy team.', 'Design and implement data strategies for collecting, sampling, labeling, and using large scale datasets to enhance machine learning model performance.', 'Develop metrics and tools for anomaly detection and trend analysis in data from various sources, including real-world vehicle platforms and simulations.', 'Design and improve scalable data pipelines and automation for machine learning and performance evaluation.']",['Automotive']
Mid-Level,False,Not mentioned,['Python'],"['Natural Language Processing', 'Generative AI']",['Not mentioned'],['GCP'],"['Lead the development and implementation of data extraction solutions from various document types', 'Design, develop, and maintain algorithms and models for information extraction', 'Ensure the integrity and accuracy of extracted data', 'Conduct technical reviews of data extraction solutions']",['Consulting']
Mid-Level,False,Bachelor's degree in a related field or equivalent experience,"['SQL', 'Python']","['Reinforcement Learning', 'Anomaly Detection', 'Natural Language Processing']","['Scikit-Learn', 'TensorFlow', 'PyTorch']",['Not mentioned'],"['Build machine learning models to detect unwanted or anomalous behaviors', 'Improve automated detection and enforcement systems', 'Analyze user reports of inappropriate accounts', 'Surface abuse patterns to research teams']",['Software and Cloud']
Not mentioned,False,Not mentioned,"['Python', 'SQL']","['Natural Language Processing', 'Anomaly Detection', 'Time Series Analysis', 'Predictive Modeling']","['TensorFlow', 'PyTorch', 'Scikit-learn', 'spaCy', 'NLTK', 'Hugging Face', 'Apache Spark', 'Flask', 'FastAPI']","['AWS', 'GCP', 'Azure']","['Develop and deploy ML models for tasks like name screening, sentiment analysis, and text classification.', 'Build predictive models using LSTM, SVD, and other techniques.', 'Create APIs to integrate ML models into applications.', 'Design scalable ETL pipelines, clean and validate data, and manage time-series databases.']",['Consulting']
Mid-Level,False,"Bachelor’s degree in a quantitative field (math, statistics, computer science, etc.) with at least 2 years of analytics experience OR a Master’s degree in a related field or an MBA with a strong quantitative background","['Python', 'R', 'Scala', 'SQL']","['Statistical Modeling', 'Predictive Modeling', 'Natural Language Processing']","['Spark', 'Not mentioned']",['AWS'],"['Collaborate with engineers, analysts, and product managers to build tools people actually want to use', 'Develop, test, and deploy machine learning models that influence business outcomes', 'Work with a tech stack that includes Python, Spark, AWS, and open-source libraries to analyze large-scale data', 'Communicate complex ideas clearly to people who aren’t data scientists']",['Finance']
Mid-Level,False,"B.S., M.S., or Ph.D. in Computer Science, Electrical Engineering, or a related field",['Python'],"['Reinforcement Learning', 'Deep Learning', 'Generative AI', 'Multimodal Learning', 'Self-Supervised Learning']","['PyTorch', 'Ray', 'Triton', 'vLLM', 'DeepSpeed']",['Not mentioned'],"['Develop and implement fine-tuning strategies for large-scale diffusion models to achieve SOTA performance in advertising and creative applications.', 'Optimize reinforcement learning methods to refine generative model outputs, ensuring alignment with human preferences and business objectives.', 'Enhance model personalization by integrating domain adaptation, contrastive learning, and retrieval-augmented generation techniques.', 'Collaborate with application teams to deploy fine-tuned models into real-world content generation pipelines, optimizing for latency, efficiency, and content quality.']","['Advertising', 'Social Media']"
Mid-Level,False,"B.S. or M.S. in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field","['Python', 'R', 'SQL', 'Shell scripting']","['Deep Learning', 'MLOps', 'Optimization', 'Predictive Modeling']","['MLflow', 'Kubeflow', 'scikit learn', 'tensorflow', 'torch']",['GCP'],"['Build and deploy scalable end-to-end data science solutions for data products', 'Work closely with data engineers, data analysts, data scientists, and application developers', 'Contribute to the MLOps lifecycle, from data monitoring to refactoring data science code', 'Deploy holistic machine learning solutions after successful prototyping']",['Retail']
Mid-Level,False,"BS in Computer Science, Robotics, Statistics, Physics, Math or another quantitative area, or equivalent work experience","['Python', 'C++']","['Deep Learning', 'Reinforcement Learning', 'Transfer Learning']",['Not mentioned'],['Not mentioned'],"[""Develop ML models that assess our autonomous vehicle's behavior."", 'Develop ML infrastructure to support performant models.', 'Collaborate across teams to bring state-of-the-art to production.']",['Automotive']
Senior,False,"Bachelor's degree in Computer Science, Computer Engineering, or other technical field","['HTML', 'CSS', 'Node JS', 'React', 'JavaScript', 'TypeScript', 'Python', 'Perl']","['Generative AI', 'Natural Language Processing']","['Docker', 'Azure DevOps']",['Azure'],"['Lead the development and delivery of our generative AI platform', 'Collaborate with cross-functional teams to ensure the successful implementation and adoption of AI-driven solutions', 'Design and build fault-tolerant scalable infrastructure to support long-running large-scale AI tasks', 'Mentor junior engineers by providing insights and best practices in AI software development']",['Software and Cloud']
Mid-Level,False,"Bachelor's or Master's degree in Data Science, Machine Learning, or related technical field, or have 4+ years of relevant professional experience","['Python', 'C++']","['Computer Vision', 'Statistical Modeling', 'Time Series Analysis', 'MLOps']","['Pytorch', 'Tensorflow', 'Jax', 'KubeFlow', 'Blender', 'Nvidia Omniverse']","['AWS', 'GCP', 'Azure']","['Design, develop, and validate algorithmic solutions which are highly reliable and scalable', 'Research and identify useful algorithms for challenging space-based applications', 'Optimize the runtime performance of existing implementations', 'Integrate current and future machine learning solutions into production pipelines']",['Space']
Senior,False,"BA/BS in Computer Science, Engineering, Business Analytics or another analytical area. Advanced degree preferred.","['Python', 'R', 'Java', 'C', 'SQL', 'C#', 'Scala', 'Spark']","['Generative AI', 'Natural Language Processing', 'Deep Learning', 'Predictive Modeling']","['Stanford NLTK', 'Dataiku', 'Data Robot', 'H20.AI']","['Azure', 'AWS', 'GCP']","['Developing and implementing data processing software and analytics algorithms.', 'Applying AI, machine learning, and analytics techniques to develop solutions.', 'Developing, maintaining, and deploying analytics software.', 'Establishing effective relationships with internal analytics, consulting, and research teams.']",['Consulting']
Not mentioned,False,Not mentioned,"['C++', 'Python', 'Shell']","['Deep Learning', 'Recommendation Systems', 'Natural Language Processing']","['TensorFlow', 'Caffe', 'MXNet']",['Not mentioned'],"['Design and build large-scale machine learning algorithms for e-commerce search engines.', 'Build machine learning solutions and algorithm strategies to empower merchants and creators.', 'Analyze user behavior data to improve platform matching ability.', ""Support the rapid development of TikTok's e-commerce business.""]","['E-commerce', 'Social Media']"
Mid-Level,False,Bachelor's degree in computer science or equivalent,['Not mentioned'],"['Deep Learning', 'Generative AI', 'Reinforcement Learning']","['Fully Sharded Data Parallel (FSDP)', 'DeepSpeed', 'AWS Neuron SDK']",['AWS'],"['Design and implement distributed training pipelines for LLMs', 'Adapt LLMs for new languages, domains, and vision applications', 'Optimize AI models for deployment on AWS Inferentia and Trainium', 'Interact with enterprise customers to co-develop tailored generative AI solutions']",['Software and Cloud']
Early Career,True,"Fulltime enrollment in Bachelor’s or Master’s degree in Computer Science, Software Engineering, Data Science, or related field (must be completing 3+ years)",['Python'],"['Natural Language Processing', 'Generative AI', 'Embedded ML']","['Flask', 'FastAPI', 'Langchain', 'LlamaIndex', 'SQL', 'NoSQL']","['AWS', 'Azure', 'GCP']","['Build robust APIs for LLM integration using frameworks like Flask and FastAPI.', 'Assist in developing intelligent systems based on Agentic AI principles using tools like Langchain or Llamaindex.', 'Support backend software development efforts including database infrastructure management with SQL, NoSQL, or vector databases.', 'Leverage software tools to automate various stages of RFIC design workflows.']","['Consumer Electronics', 'Telecommunications']"
Early Career,False,Masters Degree & 1-2yrs exp or Bachelors Degree & 3-4 yrs exp,"['Python', 'SQL']","['Deep Learning', 'Natural Language Processing', 'Generative AI']","['TensorFlow', 'PyTorch', 'JAX', 'Git', 'HuggingFace']",['Google Cloud'],"['Develop and deploy AI/ML solutions related to structured and unstructured NLP data', 'Optimize training and inference pipelines using HuggingFace on A/L/H series GPUs', 'Create Deep Learning Models with large data sets in TensorFlow, PyTorch, JAX', 'Enhance model performance and optimize deployment for GPUs']",['Healthcare']
Senior,False,Not mentioned,"['C++', 'Python']","['Computer Vision', 'MLOps']",['Not mentioned'],['Not mentioned'],"[""Bring state-of-the-art ML techniques into products within Waymo's ML Platform"", 'Collaborate with ML practitioners on models for perception, behavior prediction, and planner', 'Reinvent model evaluation at Waymo through model calibration techniques']",['Automotive']
Mid-Level,False,Not mentioned,"['C#', 'C++', 'Java', 'Swift', 'Kotlin']","['Computer Vision', 'Generative AI', 'Recommendation Systems']","['OpenCV', 'PyTorch', 'KubeFlow Pipelines', 'Airflow', 'Docker', 'Kubernetes']",['GCP'],"[""Embed Medal's database of gaming clips for contextualization"", 'Augment embeddings via automated annotations and computer vision', 'Improve library and social search functionality', ""Inform the ML recommendation system in Medal's social feed""]","['Gaming', 'Social Media']"
Not mentioned,False,"Master or Bachelor degree in Computer Science, Electrical Engineering, Operation Research, Applied Mathematics or similar quantitative fields",['Not mentioned'],"['Natural Language Processing', 'Computer Vision', 'Multimodal Learning', 'Reinforcement Learning', 'Recommendation Systems']",['Not mentioned'],['Not mentioned'],"['Develop state-of-the-art computer vision, NLP, and multimodality models', 'Optimize distributed model training framework', 'Collaborate with product teams to define business objectives and improve trust and safety strategy', 'Deploy machine learning models and implement serving pipelines at scale']",['Social Media']
Not mentioned,False,Not mentioned,['C++'],"['Deep Learning', 'Computer Vision']","['PyTorch', 'TensorFlow']",['Not mentioned'],"['Develop innovative algorithms to solve novel problems', 'Prototype solutions and bring them to production', 'Implement pipelines for training and validation', 'Develop and deploy models in production']","['Entertainment', 'Gaming']"
Senior,False,"Bachelor's degree in Computer Science, Engineering, Mathematics or related field","['Python', 'Spark SQL', 'Presto', 'Go', 'Java']","['Deep Learning', 'Supervised Learning', 'Anomaly Detection']","['Tensorflow', 'Pytorch', 'JAX']",['Not mentioned'],"['Develop production machine learning solutions to ensure the integrity of every Uber account', 'Partner with engineering and product leaders to help shape the roadmap', 'Leverage digital information, behavior signals and social networking signals to establish trust in users', 'Build large scale systems to find similarities and relationships between various entities']","['Transportation', 'Logistics']"
Mid-Level,False,Bachelor's degree in computer science or equivalent,['Not mentioned'],"['Deep Learning', 'Generative AI', 'Reinforcement Learning']","['Fully Sharded Data Parallel (FSDP)', 'DeepSpeed', 'AWS Neuron SDK']",['AWS'],"['Design and implement distributed training pipelines for LLMs', 'Adapt LLMs for new languages, domains, and vision applications', 'Optimize AI models for deployment on AWS Inferentia and Trainium', 'Interact with enterprise customers to co-develop tailored generative AI solutions']",['Software and Cloud']
Mid-Level,False,Bachelor’s or Master’s Degree in Computer Science or related field,"['Python', 'Scala', 'Java']","['Natural Language Processing', 'Anomaly Detection']","['Spark', 'Kubernetes', 'Terraform', 'Chef']","['Azure', 'AWS', 'GCP', 'OCI']","['Preparing and cleaning large volumes of data.', 'Implementing safeguards to guarantee data quality.', 'Process and analyse data from various sources to extract basic statistics and insights.', 'Contribute to the development of monitoring capabilities to track information security.']","['Software and Cloud', 'Cybersecurity']"
Mid-Level,False,"Degree in Computer Science, Electrical Engineering, Robotics or related field","['Python', 'C++']","['Computer Vision', 'Deep Learning', 'Pattern Recognition', 'Multimodal Learning']","['PyTorch', 'Tensorflow', 'Caffe']",['Not mentioned'],"['Work on the intersection of sensing and perception algorithms', 'Prototype and deploy robust computer vision algorithms on ISEE’s vehicle fleet', 'Benchmark and maintain developed modules', 'Collaborate with team for testing, evaluation and review of code']","['Transportation', 'Logistics']"
Mid-Level,False,B.S. with minimum 3 years of experience or M.S. in Computer Science/Engineering,"['Python', 'Golang', 'SQL']","['Natural Language Processing', 'Multimodal Learning', 'MLOps']","['PyTorch', 'TensorFlow', 'FastAI', 'Snowflake', 'Databricks']",['Not mentioned'],"['Design scalable data pipelines for large semi-structured data', 'Build backend and data infrastructure for fast data ingestion', 'Compile datasets for AI Security applications', 'Ensure compliance with data provenance, governance, and privacy regulations']",['Cybersecurity']
Early Career,True,"Currently a Junior or Senior in College (pursuing a degree in Data Science, Computer Science, Information Systems, HR Analytics, or related field)",['Not mentioned'],"['Natural Language Processing', 'Predictive Modeling']","['Claude for Enterprise', 'ChatGPT', 'Excel', 'Tableau', 'Power BI']",['Not mentioned'],"['Assist in implementing and optimizing AI tools for HR functions', 'Collect, clean, and analyze large HR datasets', 'Support the analysis of compensation data to identify trends', 'Identify opportunities to automate routine HR processes using AI']",['Human Resources']
Senior,False,Not mentioned,"['Python', 'SQL']","['Predictive Modeling', 'Optimization', 'MLOps']","['DBT', 'Snowflake', 'Pandas', 'Polars', 'SQLAlchemy']",['Not mentioned'],"['Identify performance bottlenecks in Snowflake queries and optimize them.', 'Optimize memory and processing inefficiencies in Python code.', 'Develop runtime and memory profiling test suites.', 'Improve modeling pipelines for Ad EnGage product.']","['Advertising', 'Entertainment']"
Mid-Level,False,Not mentioned,['Python'],"['Deep Learning', 'Natural Language Processing', 'Time Series Analysis']",['Not mentioned'],['AWS'],"['Design highly scalable pipelines for data ingestion and data processing', 'Deploy efficient inference workflows for large-scale AI models', 'Ensure pipeline robustness by constructing effective monitoring workflows', 'Integrate datasets across a wide variety of formats']",['Finance']
Mid-Level,False,"Bachelor's degree in Finance, Computer Science, Data Science or other equivalents","['SQL', 'Python']","['Predictive Modeling', 'Generative AI', 'Statistical Modeling']","['SASS', 'Power BI']",['Not mentioned'],"['Collaborate with business leaders to drive business improvement initiatives and identify cost-saving opportunities.', 'Leverage advanced data science techniques to automate reporting processes and streamline workflows.', 'Develop and maintain financial and operational datasets and dashboards for real-time insights.', 'Support the development of the Data Lake House and apply expertise in predictive modeling and machine learning.']","['Agriculture', 'Finance']"
Not mentioned,False,"Bachelor's or Master's degree in Computer Science, Computer Engineering, or related fields","['Go', 'C/C++', 'Python']","['Deep Learning', 'Natural Language Processing', 'Recommendation Systems']",['Not mentioned'],['Not mentioned'],"['Developing advanced ML and LLM algorithms for signal matching systems', 'Iterating and optimizing ranking algorithms through data analysis and experimentation', 'Leading the development of large-scale, distributed real-time systems for ML model deployment', 'Creating data-driven solutions for ads-related use cases']","['Advertising', 'Social Media']"
Early Career,True,"Currently pursuing a Bachelor's or Master's in Software Development, Computer Science, Computer Engineering, or a related technical discipline",['Not mentioned'],"['Natural Language Processing', 'Computer Vision', 'Recommendation Systems']",['Not mentioned'],['Not mentioned'],"['Participate in the improvement of the search core algorithm', 'Apply cutting-edge NLP and CV technology to match relevant videos for search queries', 'Solve the recommendation problem in search to increase personalization', 'Use NLP and CV for better video understanding and improve search results']",['Entertainment']
Early Career,True,"MS or PhD student in Computer Science, Data Science, or a related field","['Python', 'JavaScript']",['Autonomous Systems'],"['Superset', 'Tableau', 'React', 'Angular', 'Vue.js']",['Not mentioned'],"['Assist in the processing and synchronization of data for dashboards', 'Develop metrics calculation algorithms for meaningful insights', 'Develop and maintain frontend charts using modern web technologies', 'Implement data security measures for secure dashboards']",['Automotive']
Senior,False,"Ideally with a background in CS, Physics, or Math","['Python', 'SQL', 'C++']","['Anomaly Detection', 'Predictive Modeling', 'Natural Language Processing']","['PyTorch', 'Hugging Face', 'LangChain', 'Llama', 'Terraform']",['AWS'],"['Build and optimize ML models for cost forecasting, anomaly detection, and financial risk modeling', 'Develop LLM-based applications for internal and customer-facing tools', 'Design scalable data architectures to support AI/ML workflows', 'Maintain and improve cloud-based ML infrastructure']","['Finance', 'Software and Cloud']"
Mid-Level,False,"Master's degree in Computer Science, Machine Learning, Data Science, Statistics, or a field closely related to AI and Machine Learning.","['Python', 'Java']","['Deep Learning', 'Reinforcement Learning', 'Generative AI', 'Natural Language Processing', 'Predictive Modeling', 'MLOps']","['TensorFlow', 'PyTorch', 'scikit-learn', 'Jenkins', 'Git', 'Docker', 'Kubernetes']","['GCP', 'AWS', 'Azure']","['Analyze existing Micron data sets to identify patterns, trends, and insights.', 'Design, implement, and iterate on machine learning models to address specific business challenges.', 'Build and maintain Data/Solution Pipeline Engineering for scalable data infrastructure.', 'Implement strategies for deploying machine learning models into production environments.']",['Manufacturing']
Mid-Level,False,MA/MS in Statistics/Data Science/Computer Science or related quantitative subject areas with specialization in data mining or machine learning techniques,"['Python', 'Go', 'Java', 'SQL']","['Deep Learning', 'Reinforcement Learning', 'Natural Language Processing', 'Recommendation Systems', 'Supervised Learning', 'Unsupervised Learning']","['TensorFlow', 'PyTorch', 'Django', 'Flask', 'Kubernetes', 'TFServing', 'TorchServe', 'KubeFlow', 'Git', 'Bitbucket', 'Elasticsearch']",['Google Cloud Platform'],"['Craft and develop highly scalable and reliable machine learning solutions to improve user experience', 'Overcome engineering challenges with deploying machine learning solutions at scale', 'Deliver recommendations across Paramount and PlutoTV platforms that serve millions of customers daily', 'Work on innovative online inference solutions applying machine learning to both video and personalization presentations']",['Entertainment']
Mid-Level,False,Not mentioned,"['SQL', 'Python']","['Statistical Modeling', 'Predictive Modeling', 'Generative AI']","['Pandas', 'NumPy', 'SciPy', 'Scikit-learn', 'Matplotlib', 'Seaborn', 'Tableau', 'Looker', 'Google Data Studio']",['Not mentioned'],"['Conduct rigorous, end-to-end analyses using SQL, Python, and statistical methods.', 'Translate complex analytical findings into clear, compelling narratives and actionable recommendations.', 'Develop and maintain tools to provide ongoing visibility into key compute metrics.', 'Collaborate with engineering and product teams to highlight data gaps and advocate for data collection.']",['Software and Cloud']
